Date,BTC,ETH,LTC,XRP,XLM,NASDAQ,DJI,N225,HSI,SSEC,STOXX50E,USD-EUR,USD-CNY,USD-JPY,GOLD,OIL,NVDA,AMD,INTC,PYPL,ACWI-ETF,ICLN-ETF,SMH-ETF,QQQ-ETF,XLF-ETF
2019-12-27,7290.088379000001,127.214607,41.178173,0.191102,0.046086,9006.620117,28645.259766000003,23837.720703,28225.419922000005,3005.035889,3782.2700200000004,0.90081,6.9963,109.542,1513.800049,61.720001,236.47976699999998,46.18,58.622341000000006,109.400002,78.275726,11.697558,141.276047,212.400726,29.991173
2019-12-28,7317.990234000001,128.322708,42.842521999999995,0.193222,0.045151,,,,,,,,,,,,,,,,,,,,
2019-12-29,7422.652831999999,134.75798,43.670658,0.197051,0.046216,,,,,,,,,,1517.0,,,,,,,,,,
2019-12-30,7292.995117,132.633484,42.747337,0.194474,0.045954,8945.990234,28462.140625,23656.619141,28319.390625,3040.0239260000003,3748.469971,0.8942700000000001,6.9948,109.428001,1514.5,61.68,231.937271,45.52,58.1735,107.970001,77.80340600000001,11.637927000000001,140.253174,211.008652,29.90345
2019-12-31,7193.599120999999,129.61085500000002,41.340073,0.192894,0.045224,8972.599609,28538.439452999995,,28189.75,3050.124023,,0.892674,6.9857,108.873001,1519.5,61.060001,234.91238399999997,45.860001000000004,58.397918999999995,108.16999799999999,77.980522,11.677681,140.431931,211.40638700000002,30.000919
2020-01-01,7200.174316,130.80200200000002,42.017719,0.192667,0.045451,,,,,,,0.8912,6.9623,108.681,,,,,,,,,,,
2020-01-02,6985.470215,127.410179,39.823017,0.18804300000000002,0.044112,9092.19043,28868.800781,,28543.519531,3085.197998,,0.8912,6.9622,108.712997,1524.5,61.18,239.514771,49.099998,59.363903,110.75,78.78739200000001,11.856574,143.679306,214.93629500000003,30.293324
2020-01-03,7344.884276999999,134.171707,42.415572999999995,0.193521,0.045233999999999996,9020.769531,28634.880858999997,,28451.5,3083.785889,3773.3701170000004,0.8951399999999999,6.9634,108.542999,1549.199951,63.049999,235.68112200000002,48.599998,58.641853000000005,108.760002,78.108437,11.796942999999999,141.325699,212.96749900000003,29.971678000000004
2020-01-04,7410.656738,135.069366,43.326607,0.194355,0.046272,,,,,,,,,,,,,,,,,,,,
2020-01-05,7411.317383,136.276779,43.553207,0.195537,0.045359,,,,,,,,,,1571.599976,,,,,,,,,,
2020-01-06,7769.219238,144.304153,45.816353,0.22150999999999998,0.049124,9071.469727,28703.380858999997,23204.859375,28226.189452999995,3083.407959,3752.5200200000004,0.8959,6.9645,107.96399699999999,1566.199951,63.27,236.669479,48.389998999999996,58.475975,110.16999799999999,78.285561,11.767127,139.81620800000002,214.33969100000002,29.952187
2020-01-07,8163.692383,143.543991,46.424583,0.213917,0.049838,9068.580078,28583.679688,23575.720703,28322.060547000005,3104.802002,3759.25,0.8930170000000001,6.9745,108.405998,1571.800049,62.700001,239.534729,48.25,57.500240000000005,109.66999799999999,78.08876,11.737312,142.14996299999999,214.30984500000002,29.757247999999997
2020-01-08,8079.862793000001,141.25813300000002,45.653766999999995,0.20902600000000002,0.048717,9129.240234,28745.089844,23204.759766,28087.919922000005,3066.893066,3772.5600590000004,0.8964799999999999,6.9444,108.015999,1557.400024,59.610001000000004,239.984009,47.830002,57.539272,111.82,78.47251899999999,11.836697000000001,142.388306,215.92067000000003,29.952187
2020-01-09,7879.071289,138.97920200000002,45.215931,0.20489899999999997,0.046458,9203.429688,28956.900391000003,23739.869141,28561.0,3094.88208,3795.8798829999996,0.8998299999999999,6.9452,109.030998,1551.699951,59.560001,242.61965899999998,48.970001,57.861263,112.57,78.915306,11.856574,143.202621,217.75028999999998,30.137375
2020-01-10,8166.554198999999,143.963776,48.727329,0.212306,0.046402,9178.860352,28823.769531,23850.570313,28638.199219,3092.291016,3789.5200200000004,0.9,6.9517,109.50700400000001,1557.5,59.040001000000004,243.917511,48.169998,57.509997999999996,112.93,78.73819,11.87645,142.010925,217.193436,29.913196999999997
2020-01-11,8037.537598000001,142.927109,49.263767,0.211851,0.047547000000000006,,,,,,,,,,,,,,,,,,,,
2020-01-12,8192.494141,145.873932,51.080738000000004,0.215633,0.048319,,,,,,,,,,1560.099976,,,,,,,,,,
2020-01-13,8144.194336,144.22659299999998,49.733768,0.212617,0.048122000000000005,9273.929688,28907.050781,,28954.939452999995,3115.570068,3779.679932,0.89955,6.9093,109.566002,1548.400024,58.080002,251.56488,48.75,58.14423000000001,115.279999,79.328583,12.055342999999999,143.99710100000001,219.699188,30.117882
2020-01-14,8827.764648,165.955353,58.478232999999996,0.23468699999999998,0.052114999999999995,9251.330078,28939.669922000005,24025.169922,28885.140625,3106.820068,3774.8798829999996,0.8980100000000001,6.8927,109.991997,1542.400024,58.23,246.872635,48.209998999999996,57.988113,114.639999,79.25970500000001,12.154726,144.295029,218.83410600000002,30.059399
2020-01-15,8807.010742,166.230682,58.052849,0.232895,0.054789,9258.700195,29030.220702999995,23916.580078,28773.589844,3090.040039,3768.959961,0.8984,6.9003,109.853996,1552.099976,57.810001,245.165436,48.549999,57.509997999999996,114.849998,79.210503,12.174603999999999,142.159882,218.92358399999998,29.893703000000002
2020-01-16,8723.786133,164.391006,57.618256,0.22857399999999997,0.053748000000000004,9357.129883,29297.640625,23933.130859,28883.039063,3074.081055,3774.139893,0.896539,6.8898,109.883003,1549.0,58.52,248.519913,49.77,58.212528000000006,115.400002,79.791046,12.273989,144.453918,221.021637,30.15687
2020-01-17,8929.038086,170.779953,61.487125,0.23877600000000002,0.060052,9388.94043,29348.099608999997,24041.259766,29056.419922000005,3075.496094,3808.26001,0.8977,6.8781,110.175003,1558.800049,58.540001000000004,248.86935400000002,50.93,58.153983999999994,116.040001,80.00752299999999,12.413127000000001,145.049759,222.11541699999998,30.244593
2020-01-18,8942.808594,175.365677,59.408646,0.243286,0.061154999999999994,,,,,,,,,,,,,,,,,,,,
